mes,ano,alta,P_1-10,P_11-20,P_21-30,UR_1-10,UR_11-20,UR_21-30,TMAX_1-10,TMAX_11-20,TMAX_21-30,TMIN_1-10,TMIN_11-20,TMIN_21-30,NDR>1mm_1-10,NDR>1mm_11-20,NDR>1mm_21-30,NDR>10mm_1-10,NDR>10mm_11-20,NDR>10mm_21-30,NRH80_1-10,NRH80_11-20,NRH80_21-30,NRH90_1-10,NRH90_11-20,NRH90_21-30
julho,2012,"89,25","50,78","9,4","26,1","83,111","74,564","82,374","22,555","23,465","23,655","12,735","11,901","13,525","2,6","4,5","4,6","1,7",0,0,"4,2","4,8","2,1","1,5","2,1","0,9"
agosto,2012,"73,75","0,09","22,54","3,14","61,452","73,522","72,972","25,848","21,222","22,989","11,029","8,53","9,736","2,7",4,"0,6",0,0,"0,1","2,1","1,7","2,5",0,0,"0,3"
setembro,2012,4,"3,19","0,88","0,21","61,163","65,636","66,588","26,11","24,948","25,017","11,653","11,526","10,162","0,2",0,0,0,0,0,0,0,0,0,0,0
outubro,2012,2,"29,58","0,12","0,06","65,018","44,805","49,488","25,704","32,823","29,683","11,922","15,448","12,395","3,6",0,"0,8","0,8",0,0,0,0,0,0,0,0
novembro,2012,"2,75","21,17","33,46","0,4","62,027","64,73","50,131","32,113","27,687","31,713","18,177","14,207","14,619","5,4","3,4","1,8","0,9","0,8","0,1",0,0,0,0,0,0
dezembro,2012,"12,5","43,7","47,94","65,78","68,597","74,841","69,248","29,479","26,583","28,883","16,4","14,982","17,528","5,7","7,5","4,4",1,"2,3","0,9","1,2","3,2",0,0,0,0
janeiro,2013,"28,25","48,33","77,81","67,95","74,066","82,567","77,547","28,976","26,816","28,575","19,201","18,763","19,02","8,2","9,4","7,3","0,9","2,2","1,8","2,9","6,8","0,7","0,4","0,6",0
fevereiro,2013,"41,5","97,98","108,14","125,11","84,572","84,491","82,045","26,172","24,725","26,369","16,996","16,629","18,225",9,"9,6","7,7","2,4","6,2","1,3","5,6","8,7","2,5","0,5","1,4","0,1"
março,2013,"50,5","27,36","16,82","110,99","80,323","82,332","86,138","26,758","26,358","25,254","17,319","18,249","17,475","4,9","8,2","9,8",0,"2,3","6,2","6,9","8,6","8,3",0,0,0
abril,2013,78,"52,38","25,71","64,33","85,244","85,585","83,864","24,639","25,244","27,065","16,084","17,124","18,244",9,"9,4","9,2","0,9","1,9","2,1","9,8",10,"8,6","1,5",0,1
maio,2013,"83,5","0,19","12,45","47,05","78,16","82,727","86,474","22,939","23,782","25,045","11,764","14,072","17,449","0,6","6,8","5,7",0,"1,3","1,8",5,"8,9","8,3","0,3","1,2",1
junho,2013,"85,25","48,97","1,77",1,"86,24","78,81","76,748","21,862","24,048","23,638","13,583","12,728","12,065","2,3",0,0,"0,7",0,0,8,"2,1",2,"1,4",0,0
julho,2013,63,"6,24","7,88","13,03","80,305","78,004","81,231","23,883","23,007","22,983","13,438","11,87","12,317","2,4",2,"3,2",0,0,"1,3","4,6","2,3","8,4",0,"0,3","3,3"
agosto,2013,"30,5","25,6","4,92","1,8","73,851","70,087","72,288","21,99","24,548","22,807","8,916","11,378","10,809","2,4","0,9","1,9","0,6",0,0,"2,1","0,9","4,2",0,0,0
setembro,2013,1,"0,17","5,16","0,03","56,639","68,46","59,979","26,799","23,737","26,184","10,453","10,864","11,383","1,5","0,5","0,5",0,0,"0,3",0,0,"0,6",0,0,0
outubro,2013,1,"34,22","14,03","14,37","65,741","58,875","59,551","28,304","29,196","26,921","13,365","14,709","11,796","4,6","1,5","1,3","0,1","0,4","0,6",0,"0,4","0,6",0,0,0
novembro,2013,"2,5","9,01","47,08","38,1","66,295","68,56","70,903","29,52","27,155","24,917","16,123","14,599","12,868","3,7","3,1","6,7","1,1","1,2","2,5","1,1","1,3","2,5",0,0,0
dezembro,2013,10,"98,84","25,35","47,27","78,451","65,059","67,059","26,495","29,795","27,965","17,185","16,188","14,606","7,3","3,2","4,3","2,9","2,1","1,2","2,5","0,9","0,4",0,0,0
janeiro,2014,"18,5","46,35","32,37","55,68","80,165","75,115","78,641","27,611","27,517","27,844","18,289","16,248","18,42","9,5","7,7","8,1",0,"1,1","3,2","3,9","3,5","5,1",0,0,0
fevereiro,2014,"21,25","32,06","46,22","8,48","66,417","69,176","64,958","30,468","29,622","31,24","17,039","18,479","18,213","6,2","4,1","6,6","3,1","0,5",0,0,0,"2,6",0,0,0
março,2014,27,"16,39","37,22","2,8","63,201","62,277","56,75","30,495","30,858","33,332","17,512","17,677","17,197","4,2","2,8","1,6","0,7","0,3","0,9","1,7","0,3",0,0,0,0
abril,2014,"39,5","18,68","22,33","38,43","70,969","65,113","71,79","28,699","30,492","28,696","16,83","17,859","17,348",5,"2,5","5,3",1,"0,5","1,4",0,"1,3","1,7",0,0,0
maio,2014,49,"10,85","39,5","25,37","71,757","78,455","69,293","25,124","26,569","29,36","13,308","16,678","16,41","6,5","5,1","5,7",0,0,0,"3,1","2,6","1,6",0,0,0
junho,2014,"62,5","15,55","1,1","1,18","73,042","62,886","63,37","24,817","25,833","26,78","12,39","11,424","12,944","1,9",0,1,0,0,0,"1,8",0,"0,5",0,0,0
julho,2014,"77,5","0,12","10,09","6,62","62,28","67,883","66,238","25,387","25,205","25,977","11,12","12,544","10,885","1,7","0,6","2,8",0,0,0,0,0,"1,2",0,0,0
agosto,2014,"71,5","19,83","0,13","15,53","71,933","65,32","63,684","22,392","24,004","25,202","10,729","9,798","12,18","2,2","1,7","0,3",0,"0,8","0,2","1,5","0,9","0,1",0,0,0
setembro,2014,4,"3,74","8,3","1,18","48,488","61,84","54,836","29,803","26,009","26,349","11,999","11,74","10,102","1,9","1,4","1,4",0,0,0,0,0,"1,2",0,0,0
outubro,2014,0,"21,26","2,22","9,47","56,87","43,928","54,331","29,898","31,757","28,521","15,191","14,147","12,294","1,6","0,5","3,2",0,0,0,0,0,0,0,0,0
novembro,2014,"6,3","27,03","11,19","0,16","61,993","43,132","45,687","29,027","35,414","29,007","15,437","18,021","11,37","4,9",1,"2,9",0,0,0,0,0,0,0,0,0
